geometry,score
POINT (712065.0020715444 3157199.2900104844),0
POINT (712065.0020715444 3157449.2900104844),0
POINT (712065.0020715444 3159199.2900104844),8
POINT (712065.0020715444 3159449.2900104844),8
POINT (712315.0020715444 3144949.2900104844),-10
POINT (712315.0020715444 3145199.2900104844),-10
POINT (712315.0020715444 3145449.2900104844),-10
POINT (712315.0020715444 3145699.2900104844),-10
POINT (712315.0020715444 3145949.2900104844),-10
POINT (712315.0020715444 3146199.2900104844),-10
POINT (712315.0020715444 3146449.2900104844),-10
POINT (712315.0020715444 3146699.2900104844),-10
POINT (712315.0020715444 3146949.2900104844),-10
POINT (712315.0020715444 3147199.2900104844),0
POINT (712315.0020715444 3147449.2900104844),0
POINT (712315.0020715444 3147699.2900104844),0
POINT (712315.0020715444 3147949.2900104844),0
POINT (712315.0020715444 3148199.2900104844),0
POINT (712315.0020715444 3148449.2900104844),0
POINT (712315.0020715444 3148699.2900104844),0
POINT (712315.0020715444 3148949.2900104844),0
POINT (712315.0020715444 3149199.2900104844),0
POINT (712315.0020715444 3149449.2900104844),0
POINT (712315.0020715444 3149699.2900104844),0
POINT (712315.0020715444 3149949.2900104844),0
POINT (712315.0020715444 3150199.2900104844),0
POINT (712315.0020715444 3150449.2900104844),0
POINT (712315.0020715444 3150699.2900104844),0
POINT (712315.0020715444 3150949.2900104844),0
POINT (712315.0020715444 3151199.2900104844),0
POINT (712315.0020715444 3151449.2900104844),0
POINT (712315.0020715444 3151699.2900104844),0
POINT (712315.0020715444 3151949.2900104844),0
POINT (712315.0020715444 3152199.2900104844),0
POINT (712315.0020715444 3152449.2900104844),0
POINT (712315.0020715444 3152699.2900104844),0
POINT (712315.0020715444 3152949.2900104844),0
POINT (712315.0020715444 3153199.2900104844),0
POINT (712315.0020715444 3153449.2900104844),0
POINT (712315.0020715444 3153699.2900104844),0
POINT (712315.0020715444 3153949.2900104844),0
POINT (712315.0020715444 3154199.2900104844),0
POINT (712315.0020715444 3154449.2900104844),0
POINT (712315.0020715444 3154699.2900104844),0
POINT (712315.0020715444 3154949.2900104844),0
POINT (712315.0020715444 3155199.2900104844),0
POINT (712315.0020715444 3155449.2900104844),0
POINT (712315.0020715444 3155699.2900104844),10
POINT (712315.0020715444 3155949.2900104844),0
POINT (712315.0020715444 3156199.2900104844),0
POINT (712315.0020715444 3156449.2900104844),0
POINT (712315.0020715444 3156699.2900104844),0
POINT (712315.0020715444 3156949.2900104844),-10
POINT (712315.0020715444 3157199.2900104844),-10
POINT (712315.0020715444 3157449.2900104844),-10
POINT (712315.0020715444 3157699.2900104844),-10
POINT (712315.0020715444 3157949.2900104844),8
POINT (712315.0020715444 3158949.2900104844),8
POINT (712315.0020715444 3159199.2900104844),8
POINT (712315.0020715444 3159449.2900104844),8
POINT (712565.0020715444 3144949.2900104844),-10
POINT (712565.0020715444 3145199.2900104844),-10
POINT (712565.0020715444 3145449.2900104844),-10
POINT (712565.0020715444 3145699.2900104844),-10
POINT (712565.0020715444 3145949.2900104844),-10
POINT (712565.0020715444 3146199.2900104844),-10
POINT (712565.0020715444 3146449.2900104844),-10
POINT (712565.0020715444 3146699.2900104844),-10
POINT (712565.0020715444 3146949.2900104844),0
POINT (712565.0020715444 3147199.2900104844),0
POINT (712565.0020715444 3147449.2900104844),0
POINT (712565.0020715444 3147699.2900104844),0
POINT (712565.0020715444 3147949.2900104844),0
POINT (712565.0020715444 3148199.2900104844),0
POINT (712565.0020715444 3148449.2900104844),0
POINT (712565.0020715444 3148699.2900104844),0
POINT (712565.0020715444 3148949.2900104844),0
POINT (712565.0020715444 3149199.2900104844),0
POINT (712565.0020715444 3149449.2900104844),0
POINT (712565.0020715444 3149699.2900104844),0
POINT (712565.0020715444 3149949.2900104844),0
POINT (712565.0020715444 3150199.2900104844),0
POINT (712565.0020715444 3150449.2900104844),0
POINT (712565.0020715444 3150699.2900104844),0
POINT (712565.0020715444 3150949.2900104844),0
POINT (712565.0020715444 3151199.2900104844),0
POINT (712565.0020715444 3151449.2900104844),0
POINT (712565.0020715444 3151699.2900104844),0
POINT (712565.0020715444 3151949.2900104844),0
POINT (712565.0020715444 3152199.2900104844),0
POINT (712565.0020715444 3152449.2900104844),0
POINT (712565.0020715444 3152699.2900104844),0
POINT (712565.0020715444 3152949.2900104844),0
POINT (712565.0020715444 3153199.2900104844),0
POINT (712565.0020715444 3153449.2900104844),0
POINT (712565.0020715444 3153699.2900104844),0
POINT (712565.0020715444 3153949.2900104844),0
POINT (712565.0020715444 3154199.2900104844),0
POINT (712565.0020715444 3154449.2900104844),0
POINT (712565.0020715444 3154699.2900104844),0
POINT (712565.0020715444 3154949.2900104844),-5
POINT (712565.0020715444 3155199.2900104844),0
POINT (712565.0020715444 3155449.2900104844),0
POINT (712565.0020715444 3155699.2900104844),0
POINT (712565.0020715444 3155949.2900104844),0
POINT (712565.0020715444 3156199.2900104844),0
POINT (712565.0020715444 3156449.2900104844),0
POINT (712565.0020715444 3156699.2900104844),0
POINT (712565.0020715444 3156949.2900104844),0
POINT (712565.0020715444 3157199.2900104844),-10
POINT (712565.0020715444 3157449.2900104844),-10
POINT (712565.0020715444 3157699.2900104844),-10
POINT (712565.0020715444 3157949.2900104844),-2
POINT (712565.0020715444 3158199.2900104844),-2
POINT (712565.0020715444 3158699.2900104844),8
POINT (712565.0020715444 3158949.2900104844),8
POINT (712565.0020715444 3159199.2900104844),8
POINT (712565.0020715444 3159449.2900104844),8
POINT (712815.0020715444 3144199.2900104844),-10
POINT (712815.0020715444 3144449.2900104844),-10
POINT (712815.0020715444 3144699.2900104844),-10
POINT (712815.0020715444 3144949.2900104844),-10
POINT (712815.0020715444 3145199.2900104844),-10
POINT (712815.0020715444 3145449.2900104844),-10
POINT (712815.0020715444 3145699.2900104844),-10
POINT (712815.0020715444 3145949.2900104844),-10
POINT (712815.0020715444 3146199.2900104844),-10
POINT (712815.0020715444 3146449.2900104844),-10
POINT (712815.0020715444 3146699.2900104844),-10
POINT (712815.0020715444 3146949.2900104844),0
POINT (712815.0020715444 3147199.2900104844),0
POINT (712815.0020715444 3147449.2900104844),0
POINT (712815.0020715444 3147699.2900104844),0
POINT (712815.0020715444 3147949.2900104844),0
POINT (712815.0020715444 3148199.2900104844),0
POINT (712815.0020715444 3148449.2900104844),0
POINT (712815.0020715444 3148699.2900104844),0
POINT (712815.0020715444 3148949.2900104844),0
POINT (712815.0020715444 3149199.2900104844),0
POINT (712815.0020715444 3149449.2900104844),0
POINT (712815.0020715444 3149699.2900104844),0
POINT (712815.0020715444 3149949.2900104844),0
POINT (712815.0020715444 3150199.2900104844),0
POINT (712815.0020715444 3150449.2900104844),0
POINT (712815.0020715444 3150699.2900104844),0
POINT (712815.0020715444 3150949.2900104844),0
POINT (712815.0020715444 3151199.2900104844),0
POINT (712815.0020715444 3151449.2900104844),0
POINT (712815.0020715444 3151699.2900104844),0
POINT (712815.0020715444 3151949.2900104844),0
POINT (712815.0020715444 3152199.2900104844),0
POINT (712815.0020715444 3152449.2900104844),0
POINT (712815.0020715444 3152699.2900104844),0
POINT (712815.0020715444 3152949.2900104844),0
POINT (712815.0020715444 3153199.2900104844),0
POINT (712815.0020715444 3153449.2900104844),0
POINT (712815.0020715444 3153699.2900104844),0
POINT (712815.0020715444 3153949.2900104844),0
POINT (712815.0020715444 3154199.2900104844),0
POINT (712815.0020715444 3154449.2900104844),0
POINT (712815.0020715444 3154699.2900104844),0
POINT (712815.0020715444 3154949.2900104844),0
POINT (712815.0020715444 3155199.2900104844),0
POINT (712815.0020715444 3155449.2900104844),0
POINT (712815.0020715444 3155699.2900104844),0
POINT (712815.0020715444 3155949.2900104844),0
POINT (712815.0020715444 3156199.2900104844),0
POINT (712815.0020715444 3156449.2900104844),0
POINT (712815.0020715444 3156699.2900104844),0
POINT (712815.0020715444 3156949.2900104844),0
POINT (712815.0020715444 3157199.2900104844),-10
POINT (712815.0020715444 3157449.2900104844),-10
POINT (712815.0020715444 3157699.2900104844),-10
POINT (712815.0020715444 3157949.2900104844),-10
POINT (712815.0020715444 3158199.2900104844),-10
POINT (712815.0020715444 3158449.2900104844),-10
POINT (712815.0020715444 3158699.2900104844),-2
POINT (712815.0020715444 3158949.2900104844),-10
POINT (712815.0020715444 3159199.2900104844),8
POINT (712815.0020715444 3159449.2900104844),8
POINT (713065.0020715444 3144199.2900104844),-10
POINT (713065.0020715444 3144449.2900104844),-10
POINT (713065.0020715444 3144699.2900104844),-10
POINT (713065.0020715444 3144949.2900104844),-10
POINT (713065.0020715444 3145199.2900104844),-10
POINT (713065.0020715444 3145449.2900104844),-10
POINT (713065.0020715444 3145699.2900104844),-10
POINT (713065.0020715444 3145949.2900104844),-10
POINT (713065.0020715444 3146199.2900104844),-10
POINT (713065.0020715444 3146449.2900104844),-10
POINT (713065.0020715444 3146699.2900104844),-10
POINT (713065.0020715444 3146949.2900104844),0
POINT (713065.0020715444 3147199.2900104844),0
POINT (713065.0020715444 3147449.2900104844),0
POINT (713065.0020715444 3147699.2900104844),0
POINT (713065.0020715444 3147949.2900104844),0
POINT (713065.0020715444 3148199.2900104844),0
POINT (713065.0020715444 3148449.2900104844),0
POINT (713065.0020715444 3148699.2900104844),0
POINT (713065.0020715444 3148949.2900104844),0
POINT (713065.0020715444 3149199.2900104844),0
POINT (713065.0020715444 3149449.2900104844),0
POINT (713065.0020715444 3149699.2900104844),0
POINT (713065.0020715444 3149949.2900104844),0
POINT (713065.0020715444 3150199.2900104844),0
POINT (713065.0020715444 3150449.2900104844),0
POINT (713065.0020715444 3150699.2900104844),0
POINT (713065.0020715444 3150949.2900104844),0
POINT (713065.0020715444 3151199.2900104844),0
POINT (713065.0020715444 3151449.2900104844),0
POINT (713065.0020715444 3151699.2900104844),0
POINT (713065.0020715444 3151949.2900104844),0
POINT (713065.0020715444 3152199.2900104844),0
POINT (713065.0020715444 3152449.2900104844),0
POINT (713065.0020715444 3152699.2900104844),0
POINT (713065.0020715444 3152949.2900104844),0
POINT (713065.0020715444 3153199.2900104844),0
POINT (713065.0020715444 3153449.2900104844),0
POINT (713065.0020715444 3153699.2900104844),0
POINT (713065.0020715444 3153949.2900104844),0
POINT (713065.0020715444 3154199.2900104844),0
POINT (713065.0020715444 3154449.2900104844),0
POINT (713065.0020715444 3154699.2900104844),0
POINT (713065.0020715444 3154949.2900104844),0
POINT (713065.0020715444 3155199.2900104844),0
POINT (713065.0020715444 3155449.2900104844),0
POINT (713065.0020715444 3155699.2900104844),0
POINT (713065.0020715444 3155949.2900104844),0
POINT (713065.0020715444 3156199.2900104844),0
POINT (713065.0020715444 3156449.2900104844),0
POINT (713065.0020715444 3156699.2900104844),0
POINT (713065.0020715444 3156949.2900104844),0
POINT (713065.0020715444 3157199.2900104844),-10
POINT (713065.0020715444 3157449.2900104844),-10
POINT (713065.0020715444 3157699.2900104844),-10
POINT (713065.0020715444 3157949.2900104844),-10
POINT (713065.0020715444 3158199.2900104844),-18
POINT (713065.0020715444 3158449.2900104844),-10
POINT (713065.0020715444 3158699.2900104844),-18
POINT (713065.0020715444 3158949.2900104844),-10
POINT (713065.0020715444 3159199.2900104844),-2
POINT (713065.0020715444 3159449.2900104844),8
POINT (713315.0020715444 3144699.2900104844),-10
POINT (713315.0020715444 3144949.2900104844),-10
POINT (713315.0020715444 3145199.2900104844),-10
POINT (713315.0020715444 3145449.2900104844),-10
POINT (713315.0020715444 3145699.2900104844),-10
POINT (713315.0020715444 3145949.2900104844),-10
POINT (713315.0020715444 3146199.2900104844),-10
POINT (713315.0020715444 3146449.2900104844),-10
POINT (713315.0020715444 3146699.2900104844),-10
POINT (713315.0020715444 3146949.2900104844),0
POINT (713315.0020715444 3147199.2900104844),0
POINT (713315.0020715444 3147449.2900104844),0
POINT (713315.0020715444 3147699.2900104844),0
POINT (713315.0020715444 3147949.2900104844),0
POINT (713315.0020715444 3148199.2900104844),0
POINT (713315.0020715444 3148449.2900104844),0
POINT (713315.0020715444 3148699.2900104844),0
POINT (713315.0020715444 3148949.2900104844),0
POINT (713315.0020715444 3149199.2900104844),0
POINT (713315.0020715444 3149449.2900104844),0
POINT (713315.0020715444 3149699.2900104844),0
POINT (713315.0020715444 3149949.2900104844),0
POINT (713315.0020715444 3150199.2900104844),0
POINT (713315.0020715444 3150449.2900104844),0
POINT (713315.0020715444 3150699.2900104844),0
POINT (713315.0020715444 3150949.2900104844),0
POINT (713315.0020715444 3151199.2900104844),0
POINT (713315.0020715444 3151449.2900104844),0
POINT (713315.0020715444 3151699.2900104844),0
POINT (713315.0020715444 3151949.2900104844),0
POINT (713315.0020715444 3152199.2900104844),0
POINT (713315.0020715444 3152449.2900104844),0
POINT (713315.0020715444 3152699.2900104844),0
POINT (713315.0020715444 3152949.2900104844),0
POINT (713315.0020715444 3153199.2900104844),0
POINT (713315.0020715444 3153449.2900104844),0
POINT (713315.0020715444 3153699.2900104844),0
POINT (713315.0020715444 3153949.2900104844),0
POINT (713315.0020715444 3154199.2900104844),0
POINT (713315.0020715444 3154449.2900104844),0
POINT (713315.0020715444 3154699.2900104844),10
POINT (713315.0020715444 3154949.2900104844),0
POINT (713315.0020715444 3155199.2900104844),0
POINT (713315.0020715444 3155449.2900104844),0
POINT (713315.0020715444 3155699.2900104844),0
POINT (713315.0020715444 3155949.2900104844),0
POINT (713315.0020715444 3156199.2900104844),0
POINT (713315.0020715444 3156449.2900104844),0
POINT (713315.0020715444 3156699.2900104844),0
POINT (713315.0020715444 3156949.2900104844),0
POINT (713315.0020715444 3157199.2900104844),-10
POINT (713315.0020715444 3157449.2900104844),-10
POINT (713315.0020715444 3157699.2900104844),-10
POINT (713315.0020715444 3157949.2900104844),-10
POINT (713315.0020715444 3158199.2900104844),-10
POINT (713315.0020715444 3158449.2900104844),-18
POINT (713315.0020715444 3158699.2900104844),-10
POINT (713315.0020715444 3158949.2900104844),-18
POINT (713315.0020715444 3159199.2900104844),-10
POINT (713315.0020715444 3159449.2900104844),8
POINT (713315.0020715444 3159699.2900104844),8
POINT (713565.0020715444 3144699.2900104844),-10
POINT (713565.0020715444 3144949.2900104844),-10
POINT (713565.0020715444 3145199.2900104844),-10
POINT (713565.0020715444 3145449.2900104844),-10
POINT (713565.0020715444 3145699.2900104844),-10
POINT (713565.0020715444 3145949.2900104844),-10
POINT (713565.0020715444 3146199.2900104844),-10
POINT (713565.0020715444 3146449.2900104844),-10
POINT (713565.0020715444 3146699.2900104844),-10
POINT (713565.0020715444 3146949.2900104844),0
POINT (713565.0020715444 3147199.2900104844),0
POINT (713565.0020715444 3147449.2900104844),0
POINT (713565.0020715444 3147699.2900104844),0
POINT (713565.0020715444 3147949.2900104844),0
POINT (713565.0020715444 3148199.2900104844),0
POINT (713565.0020715444 3148449.2900104844),0
POINT (713565.0020715444 3148699.2900104844),0
POINT (713565.0020715444 3148949.2900104844),0
POINT (713565.0020715444 3149199.2900104844),0
POINT (713565.0020715444 3149449.2900104844),0
POINT (713565.0020715444 3149699.2900104844),0
POINT (713565.0020715444 3149949.2900104844),0
POINT (713565.0020715444 3150199.2900104844),0
POINT (713565.0020715444 3150449.2900104844),0
POINT (713565.0020715444 3150699.2900104844),0
POINT (713565.0020715444 3150949.2900104844),0
POINT (713565.0020715444 3151199.2900104844),0
POINT (713565.0020715444 3151449.2900104844),0
POINT (713565.0020715444 3151699.2900104844),0
POINT (713565.0020715444 3151949.2900104844),0
POINT (713565.0020715444 3152199.2900104844),0
POINT (713565.0020715444 3152449.2900104844),0
POINT (713565.0020715444 3152699.2900104844),0
POINT (713565.0020715444 3152949.2900104844),0
POINT (713565.0020715444 3153199.2900104844),0
POINT (713565.0020715444 3153449.2900104844),0
POINT (713565.0020715444 3153699.2900104844),0
POINT (713565.0020715444 3153949.2900104844),0
POINT (713565.0020715444 3154199.2900104844),0
POINT (713565.0020715444 3154449.2900104844),0
POINT (713565.0020715444 3154699.2900104844),10
POINT (713565.0020715444 3154949.2900104844),0
POINT (713565.0020715444 3155199.2900104844),0
POINT (713565.0020715444 3155449.2900104844),0
POINT (713565.0020715444 3155699.2900104844),0
POINT (713565.0020715444 3155949.2900104844),0
POINT (713565.0020715444 3156199.2900104844),0
POINT (713565.0020715444 3156449.2900104844),0
POINT (713565.0020715444 3156699.2900104844),0
POINT (713565.0020715444 3156949.2900104844),0
POINT (713565.0020715444 3157199.2900104844),-10
POINT (713565.0020715444 3157449.2900104844),-10
POINT (713565.0020715444 3157699.2900104844),-10
POINT (713565.0020715444 3157949.2900104844),-10
POINT (713565.0020715444 3158199.2900104844),-10
POINT (713565.0020715444 3158449.2900104844),-18
POINT (713565.0020715444 3158699.2900104844),-2
POINT (713565.0020715444 3158949.2900104844),8
POINT (713565.0020715444 3159199.2900104844),-10
POINT (713565.0020715444 3159449.2900104844),8
POINT (713565.0020715444 3159699.2900104844),18
POINT (713565.0020715444 3159949.2900104844),8
POINT (713815.0020715444 3144699.2900104844),-10
POINT (713815.0020715444 3144949.2900104844),-10
POINT (713815.0020715444 3145199.2900104844),-10
POINT (713815.0020715444 3145449.2900104844),-10
POINT (713815.0020715444 3145699.2900104844),-10
POINT (713815.0020715444 3145949.2900104844),-10
POINT (713815.0020715444 3146199.2900104844),-10
POINT (713815.0020715444 3146449.2900104844),-10
POINT (713815.0020715444 3146699.2900104844),0
POINT (713815.0020715444 3146949.2900104844),0
POINT (713815.0020715444 3147199.2900104844),0
POINT (713815.0020715444 3147449.2900104844),0
POINT (713815.0020715444 3147699.2900104844),0
POINT (713815.0020715444 3147949.2900104844),0
POINT (713815.0020715444 3148199.2900104844),0
POINT (713815.0020715444 3148449.2900104844),0
POINT (713815.0020715444 3148699.2900104844),0
POINT (713815.0020715444 3148949.2900104844),-5
POINT (713815.0020715444 3149199.2900104844),0
POINT (713815.0020715444 3149449.2900104844),0
POINT (713815.0020715444 3149699.2900104844),0
POINT (713815.0020715444 3149949.2900104844),0
POINT (713815.0020715444 3150199.2900104844),0
POINT (713815.0020715444 3150449.2900104844),0
POINT (713815.0020715444 3150699.2900104844),0
POINT (713815.0020715444 3150949.2900104844),0
POINT (713815.0020715444 3151199.2900104844),0
POINT (713815.0020715444 3151449.2900104844),0
POINT (713815.0020715444 3151699.2900104844),0
POINT (713815.0020715444 3151949.2900104844),0
POINT (713815.0020715444 3152199.2900104844),0
POINT (713815.0020715444 3152449.2900104844),0
POINT (713815.0020715444 3152699.2900104844),0
POINT (713815.0020715444 3152949.2900104844),0
POINT (713815.0020715444 3153199.2900104844),0
POINT (713815.0020715444 3153449.2900104844),0
POINT (713815.0020715444 3153699.2900104844),0
POINT (713815.0020715444 3153949.2900104844),0
POINT (713815.0020715444 3154199.2900104844),0
POINT (713815.0020715444 3154449.2900104844),0
POINT (713815.0020715444 3154699.2900104844),0
POINT (713815.0020715444 3154949.2900104844),0
POINT (713815.0020715444 3155199.2900104844),0
POINT (713815.0020715444 3155449.2900104844),0
POINT (713815.0020715444 3155699.2900104844),0
POINT (713815.0020715444 3155949.2900104844),-20
POINT (713815.0020715444 3156199.2900104844),0
POINT (713815.0020715444 3156449.2900104844),0
POINT (713815.0020715444 3156699.2900104844),0
POINT (713815.0020715444 3156949.2900104844),0
POINT (713815.0020715444 3157199.2900104844),-10
POINT (713815.0020715444 3157449.2900104844),-10
POINT (713815.0020715444 3157699.2900104844),-10
POINT (713815.0020715444 3157949.2900104844),-10
POINT (713815.0020715444 3158199.2900104844),-10
POINT (713815.0020715444 3158449.2900104844),-10
POINT (713815.0020715444 3158699.2900104844),0
POINT (713815.0020715444 3158949.2900104844),25
POINT (713815.0020715444 3159199.2900104844),25
POINT (713815.0020715444 3159449.2900104844),17
POINT (713815.0020715444 3159699.2900104844),8
POINT (713815.0020715444 3159949.2900104844),8
POINT (713815.0020715444 3160199.2900104844),8
POINT (714065.0020715444 3144699.2900104844),-10
POINT (714065.0020715444 3144949.2900104844),-10
POINT (714065.0020715444 3145199.2900104844),-10
POINT (714065.0020715444 3145449.2900104844),-10
POINT (714065.0020715444 3145699.2900104844),-10
POINT (714065.0020715444 3145949.2900104844),-10
POINT (714065.0020715444 3146199.2900104844),-10
POINT (714065.0020715444 3146449.2900104844),-10
POINT (714065.0020715444 3146699.2900104844),0
POINT (714065.0020715444 3146949.2900104844),0
POINT (714065.0020715444 3147199.2900104844),0
POINT (714065.0020715444 3147449.2900104844),0
POINT (714065.0020715444 3147699.2900104844),0
POINT (714065.0020715444 3147949.2900104844),0
POINT (714065.0020715444 3148199.2900104844),0
POINT (714065.0020715444 3148449.2900104844),0
POINT (714065.0020715444 3148699.2900104844),0
POINT (714065.0020715444 3148949.2900104844),0
POINT (714065.0020715444 3149199.2900104844),0
POINT (714065.0020715444 3149449.2900104844),0
POINT (714065.0020715444 3149699.2900104844),0
POINT (714065.0020715444 3149949.2900104844),0
POINT (714065.0020715444 3150199.2900104844),0
POINT (714065.0020715444 3150449.2900104844),0
POINT (714065.0020715444 3150699.2900104844),0
POINT (714065.0020715444 3150949.2900104844),0
POINT (714065.0020715444 3151199.2900104844),0
POINT (714065.0020715444 3151449.2900104844),0
POINT (714065.0020715444 3151699.2900104844),0
POINT (714065.0020715444 3151949.2900104844),0
POINT (714065.0020715444 3152199.2900104844),0
POINT (714065.0020715444 3152449.2900104844),0
POINT (714065.0020715444 3152699.2900104844),0
POINT (714065.0020715444 3152949.2900104844),0
POINT (714065.0020715444 3153199.2900104844),-5
POINT (714065.0020715444 3153449.2900104844),0
POINT (714065.0020715444 3153699.2900104844),0
POINT (714065.0020715444 3153949.2900104844),0
POINT (714065.0020715444 3154199.2900104844),0
POINT (714065.0020715444 3154449.2900104844),0
POINT (714065.0020715444 3154699.2900104844),0
POINT (714065.0020715444 3154949.2900104844),0
POINT (714065.0020715444 3155199.2900104844),0
POINT (714065.0020715444 3155449.2900104844),0
POINT (714065.0020715444 3155699.2900104844),0
POINT (714065.0020715444 3155949.2900104844),-20
POINT (714065.0020715444 3156199.2900104844),0
POINT (714065.0020715444 3156449.2900104844),0
POINT (714065.0020715444 3156699.2900104844),-10
POINT (714065.0020715444 3156949.2900104844),0
POINT (714065.0020715444 3157199.2900104844),0
POINT (714065.0020715444 3157449.2900104844),10
POINT (714065.0020715444 3157699.2900104844),-10
POINT (714065.0020715444 3157949.2900104844),-10
POINT (714065.0020715444 3158199.2900104844),-10
POINT (714065.0020715444 3158449.2900104844),-10
POINT (714065.0020715444 3158699.2900104844),8
POINT (714065.0020715444 3158949.2900104844),0
POINT (714065.0020715444 3159199.2900104844),15
POINT (714065.0020715444 3159449.2900104844),8
POINT (714065.0020715444 3159699.2900104844),0
POINT (714065.0020715444 3159949.2900104844),3
POINT (714065.0020715444 3160199.2900104844),0
POINT (714065.0020715444 3160449.2900104844),0
POINT (714065.0020715444 3160699.2900104844),0
POINT (714065.0020715444 3160949.2900104844),10
POINT (714315.0020715444 3144699.2900104844),-10
POINT (714315.0020715444 3144949.2900104844),-10
POINT (714315.0020715444 3145199.2900104844),-10
POINT (714315.0020715444 3145449.2900104844),-10
POINT (714315.0020715444 3145699.2900104844),-10
POINT (714315.0020715444 3145949.2900104844),-10
POINT (714315.0020715444 3146199.2900104844),-10
POINT (714315.0020715444 3146449.2900104844),-10
POINT (714315.0020715444 3146699.2900104844),0
POINT (714315.0020715444 3146949.2900104844),0
POINT (714315.0020715444 3147199.2900104844),0
POINT (714315.0020715444 3147449.2900104844),0
POINT (714315.0020715444 3147699.2900104844),0
POINT (714315.0020715444 3147949.2900104844),0
POINT (714315.0020715444 3148199.2900104844),0
POINT (714315.0020715444 3148449.2900104844),0
POINT (714315.0020715444 3148699.2900104844),0
POINT (714315.0020715444 3148949.2900104844),0
POINT (714315.0020715444 3149199.2900104844),0
POINT (714315.0020715444 3149449.2900104844),0
POINT (714315.0020715444 3149699.2900104844),0
POINT (714315.0020715444 3149949.2900104844),10
POINT (714315.0020715444 3150199.2900104844),0
POINT (714315.0020715444 3150449.2900104844),0
POINT (714315.0020715444 3150699.2900104844),0
POINT (714315.0020715444 3150949.2900104844),0
POINT (714315.0020715444 3151199.2900104844),0
POINT (714315.0020715444 3151449.2900104844),0
POINT (714315.0020715444 3151699.2900104844),0
POINT (714315.0020715444 3151949.2900104844),0
POINT (714315.0020715444 3152199.2900104844),0
POINT (714315.0020715444 3152449.2900104844),0
POINT (714315.0020715444 3152699.2900104844),0
POINT (714315.0020715444 3152949.2900104844),0
POINT (714315.0020715444 3153199.2900104844),0
POINT (714315.0020715444 3153449.2900104844),0
POINT (714315.0020715444 3153699.2900104844),0
POINT (714315.0020715444 3153949.2900104844),0
POINT (714315.0020715444 3154199.2900104844),0
POINT (714315.0020715444 3154449.2900104844),0
POINT (714315.0020715444 3154699.2900104844),0
POINT (714315.0020715444 3154949.2900104844),0
POINT (714315.0020715444 3155199.2900104844),0
POINT (714315.0020715444 3155449.2900104844),0
POINT (714315.0020715444 3155699.2900104844),0
POINT (714315.0020715444 3155949.2900104844),0
POINT (714315.0020715444 3156199.2900104844),0
POINT (714315.0020715444 3156449.2900104844),0
POINT (714315.0020715444 3156699.2900104844),0
POINT (714315.0020715444 3156949.2900104844),-10
POINT (714315.0020715444 3157199.2900104844),0
POINT (714315.0020715444 3157449.2900104844),-5
POINT (714315.0020715444 3157699.2900104844),-15
POINT (714315.0020715444 3157949.2900104844),0
POINT (714315.0020715444 3158199.2900104844),-10
POINT (714315.0020715444 3158449.2900104844),-10
POINT (714315.0020715444 3158699.2900104844),0
POINT (714315.0020715444 3158949.2900104844),8
POINT (714315.0020715444 3159199.2900104844),0
POINT (714315.0020715444 3159449.2900104844),18
POINT (714315.0020715444 3159699.2900104844),8
POINT (714315.0020715444 3159949.2900104844),8
POINT (714315.0020715444 3160199.2900104844),0
POINT (714315.0020715444 3160449.2900104844),-8
POINT (714315.0020715444 3160699.2900104844),0
POINT (714315.0020715444 3160949.2900104844),0
POINT (714315.0020715444 3161199.2900104844),0
POINT (714565.0020715444 3144699.2900104844),-10
POINT (714565.0020715444 3144949.2900104844),-10
POINT (714565.0020715444 3145199.2900104844),-10
POINT (714565.0020715444 3145449.2900104844),-10
POINT (714565.0020715444 3145699.2900104844),-10
POINT (714565.0020715444 3145949.2900104844),-10
POINT (714565.0020715444 3146199.2900104844),-10
POINT (714565.0020715444 3146449.2900104844),0
POINT (714565.0020715444 3146699.2900104844),0
POINT (714565.0020715444 3146949.2900104844),0
POINT (714565.0020715444 3147199.2900104844),0
POINT (714565.0020715444 3147449.2900104844),0
POINT (714565.0020715444 3147699.2900104844),0
POINT (714565.0020715444 3147949.2900104844),0
POINT (714565.0020715444 3148199.2900104844),0
POINT (714565.0020715444 3148449.2900104844),0
POINT (714565.0020715444 3148699.2900104844),0
POINT (714565.0020715444 3148949.2900104844),0
POINT (714565.0020715444 3149199.2900104844),0
POINT (714565.0020715444 3149449.2900104844),0
POINT (714565.0020715444 3149699.2900104844),0
POINT (714565.0020715444 3149949.2900104844),10
POINT (714565.0020715444 3150199.2900104844),10
POINT (714565.0020715444 3150449.2900104844),0
POINT (714565.0020715444 3150699.2900104844),0
POINT (714565.0020715444 3150949.2900104844),0
POINT (714565.0020715444 3151199.2900104844),0
POINT (714565.0020715444 3151449.2900104844),0
POINT (714565.0020715444 3151699.2900104844),0
POINT (714565.0020715444 3151949.2900104844),0
POINT (714565.0020715444 3152199.2900104844),0
POINT (714565.0020715444 3152449.2900104844),0
POINT (714565.0020715444 3152699.2900104844),0
POINT (714565.0020715444 3152949.2900104844),0
POINT (714565.0020715444 3153199.2900104844),0
POINT (714565.0020715444 3153449.2900104844),0
POINT (714565.0020715444 3153699.2900104844),0
POINT (714565.0020715444 3153949.2900104844),0
POINT (714565.0020715444 3154199.2900104844),0
POINT (714565.0020715444 3154449.2900104844),0
